Stadium,Capacity,City,Country,Region,Teams,Sports
Estadio Monumental Isidro Romero Carbo,59283,Guayaquil,Ecuador,South America,Barcelona Sporting Club,Association football
Parc Olympique Lyonnais,59186,Décines-Charpieu,France,Europe,Olympique Lyonnais,Association football
Chongqing Olympic Sports Center,58680,Chongqing,China,East Asia,Chongqing F.C.,Association football
PGE Stadion Narodowy,58580,Warsaw,Poland,Europe,Poland national football team,Association football
Cape Town Stadium,58309,Cape Town,RSA,Africa,Ajax Cape Town,Association football
Stadio San Nicola,58248,Bari,Italy,Europe,A.S. Bari,Association football
Arizona Stadium,57803,"Tucson, Arizona",United States,North America,Arizona Wildcats football,American football
Estadio de La Cartuja,57619,Seville,Spain,Europe,Spain national football team*,Association football
Carter–Finley Stadium,57583,"Raleigh, North Carolina",United States,North America,NC State Wolfpack football,American football
Volksparkstadion,57030,Hamburg,Germany,Europe,Hamburger SV,Association football
Estadio Mario Alberto Kempes,57000,Córdoba,Argentina,South America,,Association football
Shanghai Stadium,56842,Shanghai,China,East Asia,Shanghai SIPG F.C.,Association football
Estadio Jalisco,56713,Guadalajara,Mexico,North America,"Club Atlas, Leones Negros de la Universidad de Guadalajara, Club Deportivo Oro",Association football
Marvel Stadium,56347,Melbourne,Australia,Oceania,"Western Bulldogs, St Kilda FC, Carlton FC, Essendon FC, North Melbourne FC, Melbourne Renegades","Australian rules football, cricket, association football"
Commonwealth Stadium,56302,Edmonton,Canada,North America,"Edmonton Eskimos, FC Edmonton*","Canadian football, association football, rugby union, athletics"
Olympic Stadium,56040,Montreal,Canada,North America,"Montreal Alouettes*,[116] CF Montréal*[117]","Canadian football, baseball, association football"
Estádio Beira-Rio,56000,Porto Alegre,Brazil,South America,Sport Club Internacional,Association football
Stadium Puskás Ferenc,56000,Budapest,Hungary,Europe,Hungary national football team,Association football
Dodger Stadium,56000,Los Angeles,United States,North America,Los Angeles Dodgers,Baseball
Strahov Stadium,56000,Prague,Czech Republic,Europe,AC Sparta Praha*,Association football
Estadi Olímpic Lluís Companys,55926,Barcelona,Spain,Europe,,Athletics
Arena Națională,55634,Bucharest,Romania,Europe,Romania national football team,Association football
Municipal Corporation Stadium,55575,Kozhikode,India,South Asia,Viva Kerala,"Association football, cricket"
Stadion Crvena Zvezda,55538,Belgrade,Serbia,Europe,Red Star Belgrade,Association football
Estadio La Casa Blanca,55400,Quito,Ecuador,South America,Liga Deportiva Universitaria,Association football
Silesian Stadium,55211,Chorzów,Poland,Europe,"Poland national football team, Ruch Chorzów","Association football, speedway, athletics"
Etihad Stadium,55097,Manchester,United Kingdom,Europe,Manchester City F.C.,Association football
Gelora Bung Tomo Stadium,55000,Surabaya,Indonesia,Southeast Asia,Persebaya Surabaya,"Association football, athletics"
DY Patil Stadium,55000,Navi Mumbai,India,South Asia,Mumbai Indians*,Cricket
Greenfield International Stadium,55000,Thiruvananthapuram,India,South Asia,"India national cricket team, Kerala cricket team",Cricket and Association football[120]
Singapore National Stadium,55000,Singapore,Singapore,Southeast Asia,Singapore national football team,"Association football, rugby, cricket, athletics"
"Rajiv Gandhi International Cricket Stadium, Hyderabad",55000,Hyderabad,India,South Asia,"Hyderabad cricket team, Sunrisers Hyderabad",Cricket
Bobby Dodd Stadium,55000,Atlanta,United States,North America,Georgia Tech Yellow Jackets football,American football
Estadio Latinoamericano,55000,Havana,Cuba,South America,"Industriales, Metropolitanos",Baseball
Helong Stadium,55000,"Changsha, Hunan",China,East Asia,Hunan Billows F.C. (Hunan Xiangtao),Association football
Arun Jaitley Stadium,55000,Delhi,India,South Asia,"Delhi cricket team, Delhi Capitals",Cricket
Semple Stadium,55000,Thurles,Ireland,Europe,Tipperary GAA,"Hurling, Gaelic football"
National Stadium,55000,Kaohsiung,Taiwan,East Asia,,Association football
MCA Pune International Cricket Centre,55000,Pune,India,South Asia,Maharashtra Cricket Association,Cricket
Plovdiv Stadium,55000,Plovdiv,Bulgaria,Europe,junior football teams,"Association football, athletics"
Johan Cruyff Arena,54990,Amsterdam,Netherlands,Europe,Ajax Amsterdam,Association football
Esprit Arena,54600,Düsseldorf,Germany,Europe,Fortuna Düsseldorf,Association football
Boris Paichadze Stadium,54549,Tbilisi,Georgia,West Asia,"FC Dinamo Tbilisi, Georgia national football team, Georgia national rugby union team","Association football, rugby union"
Friends Arena,54329,Solna,Sweden,Europe,"AIK, Sweden national football team",Association football
BC Place,54320,Vancouver,Canada,North America,"BC Lions, Vancouver Whitecaps FC","Canadian football, association football"
Yankee Stadium,54251,New York City,United States,North America,"New York Yankees, New York City FC","Baseball, association football"
Hrazdan Stadium,54208,Yerevan,Armenia,West Asia,Armenia national football team,Association football
War Memorial Stadium,54120,"Little Rock, Arkansas",United States,North America,Arkansas Razorbacks football*[56],American football
